SN,REQUEST,CNT<5000,CNT5000-10000,CNT10000-25000,CNT25000-200000,CNT200000-1000000,CNT1000000-100000000,CNT>100000000,AMT<5000,AMT5000-10000,AMT10000-25000,AMT25000-200000,AMT200000-1000000,AMT1000000-100000000,AMT>100000000
1,"C_DEPOSITS","8","0","0","0","0","0","0","3850","0","0","0","0","0","0"
2,"C_WITHDRAWAL","10","2","1","0","0","0","0","4900","15000","10000","0","0","0","0"
3,"C_BILL PAYMENTS","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
4,"C_TOPUP","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
5,"C_RECHARGE CARD","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
6,"C_TRANSFER(A/C to A/C)","2","0","0","0","0","0","0","400","0","0","0","0","0","0"
7,"C_IB_TRANSFER(A/C to A/C)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
8,"A_DEPOSITS","28","0","0","0","0","0","0","7380","0","0","0","0","0","0"
9,"A_IB_DEPOSITS","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
10,"A_BILL PAYMENTS","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
11,"A_TOPUP","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
12,"A_RECHARGE CARD","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
